appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals1,assists,minutes_played,goals2,assets,converted_penalties,attempted_penalty,shots,shots_on_target,yellow_card,red_card,touches,number_of_tackles,ball_win,blocks,expected_goals,expected_goals_without_penalties,expected_goal_assists,shot_attempt,goal_assists,successful_passes,attempted_passes,pass_accuracy_in_percent,progressive_passes,carries,progressive_runs,attempted_dribbles,successful_dribbling
3839105_100986,3839105,100986,16,449,2022-09-02,Thomas Meunier,L1,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,57.0,69.0,83.0,6.0,55.0,1.0,0.0,0.0
3839105_102226,3839105,102226,16,58,2022-09-02,Thorgan Hazard,L1,0,0,0,0,46,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,29.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,21.0,81.0,5.0,18.0,3.0,1.0,0.0
3839105_143798,3839105,143798,533,533,2022-09-02,Pavel Kaderabek,L1,0,0,0,0,45,,,,,,,,,,,,,,,,,,,,,,,,,
3839105_145866,3839105,145866,533,533,2022-09-02,Munas Dabbur,L1,0,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,
3839105_160241,3839105,160241,533,533,2022-09-02,Kevin Akpoguma,L1,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,34.0,38.0,90.0,8.0,19.0,1.0,1.0,1.0
3839105_166601,3839105,166601,16,16,2022-09-02,Niklas Süle,L1,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,3.0,0.0,0.0,0.0
3839105_187492,3839105,187492,16,16,2022-09-02,Julian Brandt,L1,0,0,0,1,83,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,39.0,52.0,75.0,8.0,48.0,3.0,3.0,0.0
3839105_193900,3839105,193900,16,16,2022-09-02,Marius Wolf,L1,0,0,0,0,83,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,67.0,3.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,46.0,57.0,81.0,4.0,44.0,0.0,2.0,2.0
3839105_234029,3839105,234029,533,533,2022-09-02,Grischa Prömel,L1,0,0,0,0,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,12.0,18.0,67.0,4.0,13.0,0.0,0.0,0.0
3839105_244940,3839105,244940,16,16,2022-09-02,Salih Özcan,L1,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,52.0,63.0,83.0,2.0,45.0,1.0,2.0,2.0
